"","","","Name"
"College Scholars: Current Students and Alumni Profiles","https://as.cornell.edu/college-scholars-current-students-and-alumni-profiles","12/18/2019 - 11:08am","sah67"
"Sophie Washburn French Instructorship","https://as.cornell.edu/sophie-washburn-french-instructorship","12/16/2019 - 9:55am","sah67"
"Humanities Scholars Program","https://as.cornell.edu/humanities-scholars-program","01/07/2020 - 1:39pm","sah67"
"Distinguished Visiting Journalist Program","https://as.cornell.edu/distinguished-visiting-journalist-program","11/18/2019 - 9:58am","tmr82"
"Registrar","https://as.cornell.edu/registrar","11/11/2019 - 9:57am","emb289"
"Leave of Absence and Withdrawal","https://as.cornell.edu/leave-absence-and-withdrawal","11/08/2019 - 12:13pm","emb289"
"Study abroad area studies courses, Spring 2020","https://as.cornell.edu/study-abroad-area-courses-spring-2020","10/28/2019 - 1:02pm","rtm9"
"Study abroad course approval guidelines","https://as.cornell.edu/study-abroad-course-approval-guidelines","08/28/2019 - 5:22pm","mo433"
"College Scholar alumni — Class of 2010","https://as.cornell.edu/college-scholar-alumni-class-2010","08/21/2019 - 3:11pm","kah53"
"College Scholar alumni — Class of 2011","https://as.cornell.edu/college-scholar-alumni-class-2011","08/21/2019 - 3:10pm","kah53"
